Full Name,Employment Sector,Job Title,Current Monthly Salary (USD),Total Previous Loans,Active Loans,Total Outstanding Balance (USD),Avg Loan Amount (USD),Common Loan Reason,Historical Return Rate (%),Days Past Due (Max),MFI Diversity Score,Risk Label
Nyasha M. Chuma,Health,Medical Officer,803,9,2,1544,962,Solar Equipment,96,0,3,Low
Tariro L. Zhou,Mining,Driller,1645,4,5,5134,918,Home Improvement,96,0,1,Low
Blessing D. Phiri,Public Sector,Customs Clerk,331,6,4,1707,558,Medical,96,0,2,Low
Munyaradzi I. Mhlanga,Transport,Truck Driver,693,5,5,1275,463,Small Business,57,100,3,High
Vimbai Sibanda 332,Retail,Shop Assistant,887,5,1,160,164,Medical,98,0,1,Low
Enock Q. Gumbo,Education,Principal,945,10,0,0,411,Emergency,87,25,3,Medium
Panashe Ncube 333,Agriculture,Tobacco Smallholder,826,0,0,0,1138,Utility Debt,98,0,3,Low
Farai R. Masinga,Health,Pharmacist Assistant,1841,10,2,1328,773,School Fees,77,143,5,High
Dumisani Mhlanga 334,Transport,Logistics,774,3,0,0,612,Asset Financing,70,148,5,High
Munyaradzi Z. Mwenje,Education,Department Head,1784,4,2,790,584,Solar Equipment,98,0,2,Low
Makanaka R. Madzima,Public Sector,ZRP Sergeant,852,4,4,777,334,Small Business,58,98,4,High
Chengetai B. Ndlovu,Public Sector,ZRP Sergeant,432,6,3,755,439,Asset Financing,99,0,2,Low
Thabo F. Sibanda,Mining,Shift Boss,1677,5,6,6589,1199,Emergency,96,0,1,Low
Nyasha O. Mwenje,Transport,Logistics,732,9,0,0,1184,Solar Equipment,89,13,4,Medium
Tatenda U. Phiri,Mining,Driller,1738,6,0,0,687,Home Improvement,96,0,1,Low
Blessing G. Ncube,Manufacturing,Factory Hand,556,3,4,4147,1151,Small Business,97,0,1,Low
Itayi R. Mutasa,Education,Teacher,1377,0,0,0,419,Utility Debt,99,0,1,Low
Makanaka W. Madzima,Agriculture,Tobacco Smallholder,589,8,0,0,442,Solar Equipment,100,2,2,Low
Njabulo E. Hlongwane,Agriculture,Farm Manager,693,2,0,0,901,Input Financing,100,0,1,Low
Tendai B. Marembo,Public Sector,ZIMRA Officer,645,2,1,289,284,Medical,97,0,1,Low
Thabo O. Mutasa,Mining,Driller,1035,1,1,776,1151,Emergency,100,0,2,Low
Gugulethu B. Marembo,Health,Pharmacist Assistant,2194,0,1,765,699,Emergency,98,0,1,Low
Makanaka T. Nyathi,Health,Pharmacist Assistant,1179,8,5,1207,426,School Fees,96,0,1,Low
Takudzwa O. Madzima,Education,Lecturer,1732,2,2,1807,1077,Home Improvement,98,0,3,Low
Tatenda E. Chidambaram,Manufacturing,Line Supervisor,255,1,1,328,444,Medical,57,136,5,High
Makanaka V. Mutasa,Manufacturing,Welder,872,2,1,1331,1194,School Fees,92,30,4,Medium
Thabo P. Tshuma,Transport,Truck Driver,946,8,6,3297,582,Utility Debt,98,0,3,Low
Munyaradzi C. Moyo,Health,Pharmacist Assistant,1076,5,0,0,591,Emergency,69,40,4,High
Nomsa R. Mutambara,Education,Department Head,2079,1,0,0,527,Emergency,80,88,4,High
Nomsa D. Mutambara,Public Sector,Customs Clerk,639,6,2,2372,1153,Input Financing,96,1,2,Low
Chipo Y. Sithole,Retail,Shop Assistant,978,10,0,0,1063,Emergency,96,0,1,Low
Itayi X. Bhebhe,Health,Lab Tech,1462,0,0,0,823,Asset Financing,96,0,1,Low
Itayi R. Hlongwane,Mining,Shift Boss,1124,4,3,940,316,Medical,100,3,3,Low
Gugulethu V. Sithole,Manufacturing,Welder,484,6,3,2430,1147,Home Improvement,87,19,2,Medium
Panashe E. Ncube,Manufacturing,Welder,889,5,0,0,285,Small Business,99,0,1,Low
Vimbai P. Khumalo,Education,Principal,1715,1,1,217,370,Asset Financing,96,0,2,Low
Nomsa Mwenje 335,Transport,Logistics,945,9,4,1977,613,School Fees,91,22,3,Medium
Makanaka Q. Madzima,Health,Lab Tech,1929,4,0,0,156,Emergency,76,43,5,High
Dumisani Z. Mwenje,Retail,Buyer,631,7,4,2403,850,Solar Equipment,97,0,1,Low
Njabulo M. Chuma,Public Sector,ZIMRA Officer,612,6,2,1597,1150,Home Improvement,90,22,4,Medium
Takudzwa E. Chuma,Health,Pharmacist Assistant,805,0,1,289,349,Medical,94,12,2,Medium
Rufaro J. Phiri,Manufacturing,Factory Hand,959,9,4,977,223,Emergency,50,135,5,High
Sizo Ncube 336,Mining,Underground Supervisor,1292,10,0,0,1028,Asset Financing,95,18,2,Medium
Dumisani G. Chidambaram,Public Sector,Admin Secretary,462,6,4,2947,639,School Fees,92,7,4,Medium
Njabulo R. Ndlovu,Education,Principal,2048,8,3,1745,1054,Small Business,95,28,4,Medium
Rufaro Q. Chikore,Manufacturing,Welder,308,7,6,2444,589,School Fees,58,98,5,High
Nyasha H. Zhou,Manufacturing,Welder,847,3,0,0,851,School Fees,96,0,2,Low
Njabulo Y. Chikore,Retail,Buyer,416,1,2,969,410,Medical,77,49,4,High
Sizo I. Mhlanga,Retail,Shop Assistant,657,10,1,885,1128,Medical,87,23,3,Medium
Kuda C. Muzenda,Public Sector,Customs Clerk,477,9,5,2471,620,Asset Financing,51,139,3,High
Tatenda X. Tshuma,Mining,Driller,1123,6,5,4338,1101,Input Financing,96,0,3,Low
Thabo P. Chikore,Transport,Logistics,634,2,0,0,421,Asset Financing,97,0,1,Low
Thabo O. Nyathi,Health,Pharmacist Assistant,1168,9,5,2720,955,Input Financing,96,0,2,Low
Munyaradzi D. Marembo,Health,Pharmacist Assistant,917,9,6,1943,365,Home Improvement,96,0,1,Low
Tariro Zhou 337,Retail,Shop Assistant,946,10,2,611,360,Emergency,96,0,1,Low
Panashe A. Zhou,Agriculture,Farm Manager,794,6,0,0,217,Solar Equipment,98,0,1,Low
Panashe W. Chikore,Manufacturing,Factory Hand,500,9,6,3225,487,Small Business,99,4,2,Low
Njabulo H. Chikore,Education,Lecturer,836,8,2,1033,510,Medical,62,65,5,High
Thabo R. Dube,Manufacturing,Welder,976,2,2,393,368,Small Business,96,0,1,Low
Tapiwa Muzenda 338,Agriculture,Tobacco Smallholder,293,10,2,1165,821,Medical,100,0,1,Low
Simba M. Ncube,Public Sector,ZRP Sergeant,302,2,0,0,852,School Fees,73,35,3,High
Nomsa E. Zhou,Health,Pharmacist Assistant,1964,3,2,626,456,Home Improvement,100,0,2,Low
Vimbai Marembo 339,Education,Principal,1269,5,2,250,244,Emergency,97,0,1,Low
Panashe Makoni 340,Public Sector,ZIMRA Officer,413,5,1,189,303,Small Business,62,34,5,High
Vimbai X. Chidambaram,Retail,Merchandiser,624,3,2,1030,678,Medical,54,80,5,High
Tatenda N. Madzima,Transport,Truck Driver,859,10,0,0,722,Utility Debt,96,0,1,Low
Itayi H. Mpofu,Retail,Shop Assistant,463,4,5,3788,896,Asset Financing,58,105,5,High
Nomsa Z. Mhlanga,Agriculture,Farm Manager,792,10,1,817,1039,Emergency,92,20,3,Medium
Simba P. Gumbo,Mining,Driller,1971,5,2,235,208,Asset Financing,80,146,4,High
Chengetai Moyo 341,Agriculture,Tobacco Smallholder,433,5,1,162,151,Asset Financing,92,9,4,Medium
Kudakwashe A. Mwenje,Public Sector,Admin Secretary,419,0,0,0,378,Utility Debt,91,26,2,Medium
Munyaradzi A. Mpofu,Mining,Shift Boss,1779,10,3,2094,1017,School Fees,82,111,4,High
Itayi R. Makoni,Mining,Underground Supervisor,1462,2,3,1840,742,Small Business,100,0,1,Low
Panashe G. Mwenje,Transport,Truck Driver,752,9,1,463,812,Input Financing,98,0,3,Low
Njabulo V. Madzima,Public Sector,ZRP Sergeant,307,1,2,1086,498,Home Improvement,93,10,2,Medium
Tariro Ndlovu 342,Health,Lab Tech,1830,4,1,194,356,Solar Equipment,87,18,4,Medium
Makanaka K. Maphosa,Public Sector,Teacher,770,9,4,3257,1153,Small Business,93,16,2,Medium
Nomsa Zhuwao 343,Agriculture,Tobacco Smallholder,816,9,5,5989,1062,Emergency,99,0,2,Low
Chengetai J. Ncube,Transport,Kombi Driver,840,3,4,1041,347,School Fees,99,0,3,Low
Blessing H. Gumbo,Agriculture,Farm Manager,600,0,1,665,707,School Fees,89,5,4,Medium
Farai J. Hlongwane,Health,Medical Officer,1440,0,0,0,722,Asset Financing,96,4,1,Low
Gugulethu C. Zhuwao,Transport,Kombi Driver,364,0,0,0,718,School Fees,100,0,2,Low
Tendai Nyathi 344,Health,Nurse,1053,9,6,3646,679,Asset Financing,87,6,4,Medium
Munyaradzi L. Zhou,Education,Principal,1283,4,2,528,423,Home Improvement,57,129,3,High
Nyasha A. Muzenda,Manufacturing,Line Supervisor,766,0,0,0,318,Asset Financing,100,0,3,Low
Dumisani Q. Mpofu,Manufacturing,Line Supervisor,283,8,5,2618,533,Home Improvement,99,0,3,Low
Kudakwashe L. Gumbo,Health,Nurse,1413,8,5,2483,581,Input Financing,96,0,1,Low
Farai Z. Moyo,Manufacturing,Factory Hand,715,9,1,377,586,Asset Financing,77,139,3,High
Itayi F. Mpofu,Retail,Buyer,906,1,1,985,1129,Solar Equipment,60,81,4,High
Chipo C. Nyathi,Transport,Truck Driver,724,9,4,2077,726,Medical,67,120,4,High
Tapiwa X. Moyo,Health,Lab Tech,1459,4,1,338,547,Small Business,81,128,5,High
Sizo Mwenje 345,Manufacturing,Welder,426,9,4,1365,391,Solar Equipment,99,0,1,Low
Chengetai V. Ncube,Mining,Shift Boss,1615,9,3,1288,839,Small Business,97,2,3,Low
Panashe U. Tshuma,Mining,Underground Supervisor,2037,2,1,484,405,Solar Equipment,86,30,4,Medium
Anesu Chuma 346,Transport,Truck Driver,895,6,0,0,557,Asset Financing,88,15,4,Medium
Thabo O. Chuma,Agriculture,Agro-dealer,756,9,0,0,929,Solar Equipment,99,0,3,Low
Tendai E. Madzima,Manufacturing,Welder,591,7,4,2137,509,Input Financing,86,21,3,Medium
Takudzwa I. Bhebhe,Retail,Merchandiser,829,2,3,2365,1139,Asset Financing,99,0,1,Low
Thabo Dube 347,Retail,Merchandiser,354,3,0,0,196,Utility Debt,95,28,3,Medium
Rufaro P. Nyathi,Education,Teacher,1428,1,2,932,543,School Fees,97,0,3,Low
Tapiwa T. Nyathi,Public Sector,Teacher,279,10,4,611,194,Input Financing,95,29,3,Medium
Munyaradzi Y. Bhebhe,Agriculture,Farm Manager,675,4,2,1017,969,Small Business,81,39,4,High
Kuda Y. Madzima,Health,Nurse,2150,5,0,0,1095,Asset Financing,97,0,1,Low
Rudo D. Gumbo,Manufacturing,Welder,317,2,2,697,427,Asset Financing,100,0,3,Low
Dumisani X. Mwenje,Public Sector,Customs Clerk,783,3,1,341,329,Input Financing,100,0,1,Low
Panashe D. Bhebhe,Health,Lab Tech,1652,2,1,394,747,Solar Equipment,99,1,2,Low
Takudzwa I. Ndlovu,Manufacturing,Line Supervisor,655,9,1,205,222,Utility Debt,100,1,3,Low
Gugulethu V. Bhebhe,Agriculture,Farm Manager,721,2,1,211,246,Medical,88,6,4,Medium
Dumisani E. Chikore,Agriculture,Farm Manager,654,9,3,1380,786,Asset Financing,97,3,2,Low
Njabulo F. Nyathi,Health,Medical Officer,1280,5,0,0,562,Input Financing,92,24,2,Medium
Itayi Bhebhe 348,Transport,Logistics,401,6,1,354,612,Emergency,100,0,2,Low
Tapiwa P. Nyathi,Manufacturing,Factory Hand,445,8,0,0,221,Small Business,91,28,3,Medium
Enock C. Dube,Retail,Merchandiser,664,9,0,0,235,Medical,97,3,1,Low
Dumisani P. Maphosa,Transport,Kombi Driver,592,2,0,0,257,School Fees,99,0,3,Low
Anesu G. Chikore,Manufacturing,Welder,691,5,3,577,369,Emergency,86,29,4,Medium
Tariro E. Zuma,Education,Principal,1513,2,3,1690,562,Small Business,88,25,3,Medium
Sizo S. Sithole,Health,Medical Officer,1728,1,1,849,784,Utility Debt,80,30,4,High
Tatenda Mutambara 349,Education,Teacher,1655,1,1,626,620,Emergency,90,27,3,Medium
Vimbai J. Mpofu,Health,Lab Tech,1105,0,0,0,180,Utility Debt,92,20,4,Medium
Chengetai Ncube 350,Retail,Buyer,835,5,5,820,298,Small Business,97,0,1,Low
Blessing B. Masinga,Health,Nurse,1307,6,2,704,322,Medical,100,1,1,Low
Tatenda I. Chuma,Agriculture,Agro-dealer,393,10,2,1833,938,Home Improvement,56,146,3,High
Chipo D. Ndlovu,Public Sector,ZRP Sergeant,509,6,4,3274,1185,Emergency,59,93,5,High
Tapiwa Z. Phiri,Manufacturing,Line Supervisor,869,2,3,2022,1023,Emergency,97,0,3,Low
Simba P. Tshuma,Education,Teacher,1316,6,3,1950,944,Home Improvement,100,0,1,Low
Dumisani M. Nyathi,Retail,Buyer,379,7,1,579,876,Utility Debt,98,0,3,Low
Vimbai O. Hlongwane,Manufacturing,Factory Hand,915,9,2,771,660,Asset Financing,94,28,4,Medium
Tariro E. Makoni,Mining,Underground Supervisor,986,0,1,423,454,Emergency,92,9,2,Medium
Kudakwashe Z. Mpofu,Mining,Driller,2189,4,2,1222,876,Medical,93,18,2,Medium
Makanaka Khumalo 351,Public Sector,Admin Secretary,513,8,4,2380,724,Emergency,84,92,3,High
Enock H. Chikore,Education,Teacher,949,1,1,1008,912,Home Improvement,100,0,3,Low
Chengetai Maphosa 352,Mining,Shift Boss,2034,7,6,5982,855,Medical,50,72,5,High
Kuda A. Moyo,Retail,Shop Assistant,697,7,6,1352,397,School Fees,98,0,3,Low
Dumisani M. Zuma,Agriculture,Farm Manager,817,7,3,1124,582,Asset Financing,99,0,1,Low
Thabo R. Masinga,Transport,Truck Driver,597,1,2,1575,860,Medical,77,62,4,High
Tatenda E. Mutambara,Education,Lecturer,1787,10,1,817,1196,Emergency,89,30,4,Medium
Blessing O. Ncube,Transport,Kombi Driver,335,3,4,856,258,Asset Financing,96,0,1,Low
Munyaradzi O. Zuma,Manufacturing,Welder,408,6,5,1892,358,School Fees,81,95,3,High
Chipo L. Hlongwane,Retail,Buyer,484,9,2,474,390,Small Business,96,0,1,Low
Anesu Masinga 353,Manufacturing,Welder,949,0,0,0,440,Emergency,51,117,3,High
Gugulethu N. Masinga,Education,Principal,1513,4,5,649,179,Asset Financing,97,3,2,Low
Blessing Makoni 354,Education,Principal,1259,5,3,588,235,Medical,98,0,1,Low
Farai Z. Phiri,Manufacturing,Line Supervisor,522,3,4,2891,979,Utility Debt,100,0,2,Low
Tatenda G. Mwenje,Health,Pharmacist Assistant,1132,1,1,766,763,Solar Equipment,95,26,2,Medium
Makanaka Y. Masinga,Health,Nurse,1290,10,5,4863,992,School Fees,99,0,1,Low
Nomsa Y. Sithole,Mining,Underground Supervisor,2171,9,0,0,1055,Emergency,97,0,1,Low
Njabulo Z. Ndlovu,Mining,Driller,1074,5,3,1152,336,Home Improvement,97,0,1,Low
Nyasha P. Madzima,Health,Medical Officer,1452,0,0,0,741,School Fees,97,0,2,Low
Panashe F. Ndlovu,Mining,Driller,2099,9,5,1646,303,Input Financing,86,28,4,Medium
Tatenda M. Marembo,Public Sector,ZIMRA Officer,665,4,2,685,528,Solar Equipment,92,17,3,Medium
Farai Y. Bhebhe,Public Sector,Customs Clerk,942,4,1,387,616,Utility Debt,98,0,3,Low
Munyaradzi S. Dube,Public Sector,ZIMRA Officer,565,0,0,0,1197,Home Improvement,93,30,4,Medium
Njabulo N. Chikore,Transport,Kombi Driver,695,6,2,2492,1055,Input Financing,100,0,2,Low
Dumisani K. Maphosa,Retail,Shop Assistant,726,0,0,0,534,Solar Equipment,72,129,4,High
Thabo H. Sibanda,Agriculture,Agro-dealer,866,6,5,2268,669,Asset Financing,100,0,2,Low
Makanaka X. Chuma,Retail,Buyer,995,2,0,0,157,Emergency,88,15,4,Medium
Kuda K. Khumalo,Health,Medical Officer,1370,1,1,1040,1021,Asset Financing,89,28,4,Medium
Dumisani Mhlanga 355,Public Sector,Teacher,658,9,3,681,209,Emergency,85,141,5,High
Farai G. Sithole,Manufacturing,Welder,529,10,6,2727,470,Home Improvement,99,1,2,Low
Tatenda Z. Madzima,Education,Principal,918,8,6,879,227,Home Improvement,100,0,1,Low
Njabulo Chidambaram 356,Transport,Logistics,867,3,4,948,438,Emergency,99,0,1,Low
Tinashe H. Mwenje,Transport,Logistics,317,10,5,1503,281,Emergency,92,11,2,Medium
Thabo D. Moyo,Mining,Driller,2134,7,2,797,493,Utility Debt,87,27,4,Medium
Tariro H. Chidambaram,Health,Pharmacist Assistant,1678,1,2,1371,1067,Asset Financing,71,51,4,High
Tapiwa Q. Chuma,Agriculture,Agro-dealer,983,9,0,0,251,School Fees,96,0,2,Low
Tendai M. Muzenda,Retail,Merchandiser,428,5,4,4394,964,Input Financing,91,23,4,Medium
Tapiwa R. Mwenje,Education,Teacher,2077,8,2,627,443,School Fees,100,0,2,Low
Nyasha D. Masinga,Transport,Truck Driver,506,4,2,1464,669,Small Business,99,0,2,Low
Sizo K. Sibanda,Manufacturing,Welder,917,1,0,0,1127,Small Business,93,28,3,Medium
Panashe G. Mutasa,Transport,Truck Driver,424,6,6,4913,860,Asset Financing,87,9,3,Medium
Simba Marembo 357,Manufacturing,Line Supervisor,486,4,5,1149,213,Small Business,57,47,4,High
Musa W. Masinga,Agriculture,Farm Manager,441,2,1,525,826,School Fees,96,0,2,Low
Rufaro L. Bhebhe,Transport,Kombi Driver,447,2,0,0,239,Medical,91,25,2,Medium
Panashe Moyo 358,Mining,Driller,2119,8,6,1149,368,Input Financing,96,0,2,Low
Munyaradzi F. Muzenda,Health,Nurse,2113,9,2,1485,740,School Fees,83,33,5,High
Vimbai I. Mwenje,Retail,Merchandiser,691,10,0,0,852,Utility Debt,88,23,3,Medium
Itayi N. Nyathi,Health,Medical Officer,1822,5,5,2610,586,School Fees,88,10,4,Medium
Dumisani M. Ncube,Mining,Underground Supervisor,1921,0,0,0,395,School Fees,88,28,3,Medium
Makanaka C. Khumalo,Health,Medical Officer,1794,7,5,3487,713,School Fees,52,84,4,High
Nyasha K. Khumalo,Health,Lab Tech,1336,5,0,0,540,Medical,95,12,2,Medium
Vimbai N. Chidambaram,Transport,Truck Driver,709,8,3,2629,1020,Solar Equipment,87,22,2,Medium
Tapiwa Zuma 359,Transport,Kombi Driver,346,10,5,3649,652,School Fees,92,29,3,Medium
Vimbai V. Maphosa,Public Sector,Admin Secretary,432,9,2,1555,723,Utility Debt,96,0,1,Low
Itayi E. Zhou,Health,Medical Officer,847,3,1,645,892,Home Improvement,86,12,2,Medium
Tatenda Q. Sibanda,Public Sector,ZIMRA Officer,415,6,4,1802,685,Home Improvement,90,16,4,Medium
Tariro K. Masinga,Public Sector,Admin Secretary,738,1,0,0,1120,Utility Debt,85,142,4,High
Vimbai R. Madzima,Health,Pharmacist Assistant,2190,10,2,1537,836,Input Financing,94,19,4,Medium
Rufaro G. Mpofu,Transport,Truck Driver,353,4,2,722,540,Emergency,93,28,4,Medium
Takudzwa H. Zuma,Education,Department Head,1798,4,3,3313,1177,Utility Debt,77,98,5,High
Makanaka W. Chikore,Transport,Logistics,745,7,6,711,174,School Fees,97,0,1,Low
Tendai L. Ndlovu,Mining,Shift Boss,1222,1,0,0,585,Asset Financing,80,71,3,High
Tendai Moyo 360,Agriculture,Farm Manager,531,4,2,447,348,Utility Debt,96,0,1,Low
Simba I. Chuma,Education,Department Head,1279,2,0,0,238,Asset Financing,95,16,3,Medium
Kuda Zhuwao 361,Manufacturing,Welder,425,1,1,671,770,Solar Equipment,84,55,3,High
Simba Ndlovu 362,Transport,Kombi Driver,415,3,3,585,173,Input Financing,98,0,1,Low
Sizo R. Phiri,Agriculture,Agro-dealer,624,1,2,692,376,School Fees,100,0,1,Low
Tinashe B. Chuma,Manufacturing,Factory Hand,477,6,0,0,1032,Input Financing,60,121,4,High
Vimbai N. Nyathi,Public Sector,Teacher,591,3,0,0,973,Asset Financing,98,0,2,Low
Gugulethu T. Hlongwane,Retail,Buyer,350,1,0,0,767,Utility Debt,92,9,3,Medium
Blessing Mwenje 363,Mining,Underground Supervisor,1121,1,1,302,564,Home Improvement,99,0,3,Low
Blessing Z. Mutambara,Education,Teacher,2072,4,0,0,977,Solar Equipment,99,0,1,Low
Anesu E. Phiri,Mining,Shift Boss,1930,6,2,706,500,School Fees,92,7,4,Medium
Njabulo J. Khumalo,Mining,Driller,867,8,1,316,381,Utility Debt,96,0,3,Low
Thabo U. Chikore,Retail,Buyer,341,6,3,3237,1084,Emergency,96,0,1,Low
Munyaradzi G. Sibanda,Retail,Buyer,953,3,1,681,1087,Medical,96,0,2,Low
Dumisani K. Tshuma,Transport,Truck Driver,533,5,5,1506,517,Input Financing,99,0,3,Low
Tinashe Q. Ndlovu,Public Sector,Customs Clerk,779,3,0,0,436,Utility Debt,96,4,3,Low
Farai Y. Mhlanga,Education,Teacher,1444,7,3,1841,1177,Input Financing,97,0,2,Low
Anesu L. Hlongwane,Public Sector,ZIMRA Officer,989,3,3,1805,1147,Medical,100,0,2,Low
Tariro X. Zhuwao,Public Sector,Customs Clerk,811,5,2,961,920,Emergency,60,31,3,High
Nomsa M. Mutasa,Education,Department Head,1186,6,4,686,303,Home Improvement,53,48,4,High
Vimbai T. Marembo,Transport,Truck Driver,658,1,0,0,323,Home Improvement,98,2,3,Low
Thabo K. Ndlovu,Manufacturing,Welder,542,8,6,5231,957,Utility Debt,87,14,2,Medium
Gugulethu Chidambaram 364,Agriculture,Tobacco Smallholder,342,5,4,1533,378,Emergency,96,0,2,Low
Chipo T. Mpofu,Education,Department Head,1055,5,0,0,878,Medical,99,0,1,Low
Anesu V. Tshuma,Education,Department Head,859,0,0,0,1066,Home Improvement,88,14,4,Medium
Rufaro Chikore 365,Public Sector,Teacher,679,5,2,1302,1007,School Fees,97,0,2,Low
Tariro R. Chidambaram,Public Sector,Admin Secretary,458,9,1,269,259,Small Business,96,0,1,Low
Nyasha J. Mpofu,Transport,Logistics,963,5,6,3479,1014,Small Business,65,134,3,High
Munyaradzi H. Madzima,Health,Lab Tech,1448,3,2,439,286,School Fees,55,132,4,High
Farai X. Sibanda,Retail,Buyer,762,5,4,1520,617,Home Improvement,89,25,4,Medium
Makanaka B. Dube,Mining,Shift Boss,1351,6,6,3878,882,Asset Financing,92,27,3,Medium
Dumisani I. Khumalo,Agriculture,Farm Manager,714,10,6,3740,1132,Emergency,93,5,2,Medium
Chengetai H. Sibanda,Health,Lab Tech,1206,8,0,0,451,Emergency,98,0,3,Low
Makanaka M. Bhebhe,Health,Pharmacist Assistant,1219,10,6,3113,525,School Fees,93,10,4,Medium
Tinashe E. Ncube,Agriculture,Farm Manager,823,4,1,1224,1176,School Fees,96,0,3,Low
Rufaro O. Phiri,Health,Medical Officer,1528,3,4,683,178,Input Financing,69,101,5,High
Kuda B. Sibanda,Transport,Logistics,990,5,1,670,902,Solar Equipment,97,0,1,Low
Tapiwa D. Ndlovu,Manufacturing,Welder,518,0,0,0,484,Small Business,96,0,1,Low
Tendai G. Gumbo,Education,Department Head,1664,10,3,837,353,Solar Equipment,90,14,3,Medium
Makanaka Sibanda 366,Agriculture,Agro-dealer,901,1,1,706,696,Utility Debt,98,0,1,Low
Tendai B. Mutambara,Manufacturing,Factory Hand,411,3,0,0,623,Input Financing,99,0,3,Low
Sizo C. Mpofu,Health,Medical Officer,883,3,0,0,857,Utility Debt,90,8,2,Medium
Musa Mhlanga 367,Manufacturing,Factory Hand,810,10,1,236,388,Small Business,100,5,3,Low
Blessing Moyo 368,Public Sector,ZIMRA Officer,683,10,1,313,297,School Fees,89,20,4,Medium
Chengetai I. Masinga,Mining,Underground Supervisor,1987,4,0,0,175,Small Business,89,23,3,Medium
Chengetai M. Phiri,Agriculture,Agro-dealer,618,0,0,0,1121,Small Business,94,15,4,Medium
Tinashe Z. Tshuma,Health,Pharmacist Assistant,1410,1,1,386,392,Small Business,98,0,2,Low
Simba P. Ndlovu,Transport,Logistics,692,10,4,399,177,Utility Debt,57,83,5,High
Itayi Moyo 369,Retail,Merchandiser,638,0,1,169,236,Input Financing,100,0,1,Low
Njabulo T. Zuma,Transport,Logistics,994,4,2,1377,667,Utility Debt,96,0,3,Low
Rudo Y. Mutasa,Health,Pharmacist Assistant,1916,8,0,0,207,Asset Financing,92,28,3,Medium
Musa A. Madzima,Mining,Driller,975,1,2,1621,824,Home Improvement,96,2,3,Low
Chengetai Maphosa 370,Agriculture,Tobacco Smallholder,297,6,5,1820,410,Emergency,92,24,3,Medium
Chengetai Q. Chikore,Manufacturing,Welder,663,0,0,0,782,Input Financing,70,143,5,High
Chengetai Dube 371,Agriculture,Farm Manager,945,6,2,1602,990,Small Business,98,0,1,Low
Dumisani A. Mutambara,Health,Medical Officer,1812,8,4,2372,660,Utility Debt,100,0,1,Low
Enock Mwenje 372,Health,Lab Tech,910,5,3,1926,876,Input Financing,93,14,2,Medium
Tapiwa Q. Sibanda,Transport,Kombi Driver,541,1,1,1108,993,Home Improvement,97,0,3,Low
Dumisani T. Dube,Agriculture,Agro-dealer,703,2,1,289,425,School Fees,98,0,1,Low
Munyaradzi P. Maphosa,Transport,Kombi Driver,313,8,1,1231,1158,Solar Equipment,97,0,1,Low
Musa F. Chuma,Retail,Buyer,791,2,2,812,498,Asset Financing,97,0,1,Low
Simba E. Masinga,Retail,Shop Assistant,866,9,0,0,378,Utility Debt,98,0,3,Low
Sizo V. Marembo,Manufacturing,Line Supervisor,494,1,0,0,186,School Fees,93,26,2,Medium
Farai Bhebhe 373,Mining,Driller,1495,3,3,2142,838,Asset Financing,63,115,4,High
Sizo N. Moyo,Health,Pharmacist Assistant,1624,2,0,0,702,Utility Debt,96,0,3,Low
Sizo J. Khumalo,Transport,Kombi Driver,432,1,2,1670,848,Small Business,94,17,3,Medium
Tatenda K. Makoni,Mining,Underground Supervisor,1838,9,4,1412,434,School Fees,91,19,3,Medium
Musa E. Khumalo,Transport,Truck Driver,580,9,4,934,311,School Fees,89,27,2,Medium
Rudo P. Chidambaram,Manufacturing,Line Supervisor,695,1,1,499,869,Solar Equipment,94,9,2,Medium
Thabo E. Makoni,Education,Lecturer,1541,3,3,1415,442,Small Business,99,0,3,Low
Enock P. Gumbo,Agriculture,Tobacco Smallholder,766,7,6,1189,307,Small Business,86,9,2,Medium
Musa H. Chikore,Education,Lecturer,906,10,0,0,569,Utility Debt,99,0,2,Low
Blessing X. Mutambara,Agriculture,Farm Manager,902,3,0,0,291,Input Financing,84,96,5,High
Tariro S. Phiri,Mining,Underground Supervisor,1067,5,6,5444,786,Emergency,96,0,1,Low
Tapiwa Moyo 374,Health,Pharmacist Assistant,1998,5,2,647,348,Home Improvement,98,0,2,Low
Njabulo K. Hlongwane,Manufacturing,Welder,716,8,3,3422,970,Utility Debt,96,0,3,Low
Chengetai Moyo 375,Mining,Shift Boss,2024,8,3,1768,610,Utility Debt,88,23,2,Medium
Gugulethu Zuma 376,Transport,Truck Driver,829,9,4,5114,1144,Utility Debt,91,9,2,Medium
Simba Khumalo 377,Agriculture,Farm Manager,308,10,5,2216,461,Medical,99,0,2,Low
Chipo Z. Gumbo,Agriculture,Tobacco Smallholder,540,2,3,2791,925,Emergency,57,68,3,High
Panashe P. Dube,Mining,Underground Supervisor,816,10,6,2285,761,Home Improvement,90,5,3,Medium
Enock U. Bhebhe,Manufacturing,Line Supervisor,694,7,0,0,801,Home Improvement,86,30,3,Medium
Kudakwashe M. Mhlanga,Public Sector,Teacher,788,3,2,239,151,Small Business,95,6,4,Medium
Gugulethu Mutasa 378,Health,Lab Tech,1585,8,4,301,150,Medical,69,92,3,High
Chipo P. Dube,Manufacturing,Factory Hand,406,9,0,0,645,Input Financing,99,1,2,Low
Rudo J. Masinga,Agriculture,Agro-dealer,533,8,2,343,177,Medical,89,21,3,Medium
